emp_id,name,gender,department,city,hire_date,birth_year,salary,performance,satisfaction,overtime_hours,left_company
E0104,سعد الزهراني,ذكر,المالية,الرياض,2024-10-18,2002,8750,3,6,8,لا
E0332,ماجد العتيبي,ذكر,Sales,الرياض,2017-09-12,1986,10750,4,,13,لا
E0007,عمر السبيعي,ذكر,التقنية,الرياض,2025-05-27,1998,"14,700",2,5,4,لا
E0394,دانة المطيري,أنثى,HR,الرياض,2021-12-03,1992,10500,4,9,0,لا
E0259,فهد الزهراني,ذكر,المالية,الرياض,2018-03-07,1993,11250,4,8,6,لا
E0267,ماجد العمري,ذكر,المبيعات,الرياض,2023-08-22,1990,7650,5,4,8,لا
E0243,ريم الزهراني,أنثى,خدمة العملاء,الرياض,2020-05-01,1983,7100,3,3,16,نعم
E0381,منى القحطاني,أنثى,خدمة العملاء,الرياض,2021-12-27,2000,8250,1,3,11,No
E0009,عبدالله الزهراني,ذكر,خدمة العملاء,جدة ,2023-03-09,1986,5500,3,,12,لا
E0170,سعد الحربي,ذكر,IT,جدة,2016-12-07,1995,16500,4,7,8,لا
E0204,ريم الغامدي,أنثى,خدمة العملاء,جدة,2020-06-23,1991,6500,2,2,10,No
E0297,نورة السبيعي,أنثى,المبيعات,جدة,2022-09-24,1993,6650 SAR,3,2,14,لا
E0248,هند العتيبي,أنثى,خدمة العملاء,الرياض,17/02/2013,1989,9300,5,6,8,لا
E0188,سارة القحطاني,أنثى,المبيعات,جدة,2025-04-27,2001,8500,4,6,17,لا
E0020,هند الشمري,أنثى,التقنية ,الرياض,2022-07-05,1996,12500,5,6,15,نعم
E0050,خالد الدوسري,ذكر,الموارد البشرية,جدة,2023-10-23,2002,8200,4,9,3,لا
E0209,نورة الغامدي,أنثى,الموارد البشرية,الرياض,2020-11-02,1991,10200,5,9,2,لا
E0052,عمر الغامدي,ذكر,خدمة العملاء,جدة,2018-12-24,1984,8300,4,10,5,لا
E0326,محمد الغامدي,ذكر,التقنية,الرياض,2022-08-05,1999,12650,3,10,4,لا
E0303,لمى الزهراني,أنثى,Finance,الرياض,2020-06-23,1998,6500,1,5,11,لا
E0164,نورة السبيعي,أنثى,المالية,الرياض,2016-10-30,1986,,2,6,6,لا
E0194,عبدالله المطيري,ذكر,خدمة العملاء,جدة ,2024-01-29,1993,7000,3,5,12,لا
E0288,عمر الشمري,ذكر,المبيعات,الرياض,2023-11-05,1996,10300,3,7,23,لا
E0035,سعد الزهراني,ذكر,الموارد البشرية,الرياض,2020-03-22,1990,11500,4,7,11,لا
E0370,سعد العمري,ذكر,خدمة العملاء,الرياض,15/06/2022,1998,6900,4,,13,لا
E0120,عبدالله العتيبي,ذكر,التقنية,الرياض,2020-11-07,1994,14750,3,5,6,لا
E0349,سلطان الشمري,ذكر,المالية,الرياض,2024-07-21,2003,"9,500",4,,7,لا
